code	category
00000758	fresh-foods
00000758	cauliflowers
00000758	plant-based-foods
00000758	fruits-and-vegetables-based-foods
00000758	vegetables-based-foods
00000758	fresh-plant-based-foods
00000758	leaf-vegetables
0000084154071	sauces
0000084154071	condiments
0000084154071	groceries
0000084154071	mustards
0000087111910	spreads
0000087111910	plant-based-spreads
0000087111910	plant-based-foods-and-beverages
0000087111910	salted-spreads
0000087111910	yeast-extract-spreads
0000087111910	plant-based-foods
0000087157215	sauces
0000087157215	groceries
0000087157215	tomato-sauces
0000087157215	ketchup
0000087157635	sauces
0000087157635	groceries
0000087157635	tomato-sauces
0000087157635	ketchup
0000087177756	beverages
0000087177756	plant-based-beverages
0000087177756	plant-based-foods-and-beverages
0000087177756	fruit-sodas
0000087177756	sodas
0000087177756	lemon-soft-drinks
0000087177756	fruit-based-beverages
0000087177756	sugared-beverages
0000087177756	carbonated-drinks
000010	sugary-snacks
000010	cakes
000010	madeleines
000010	desserts
000010	biscuits-and-cakes
0000101209159	cocoa-and-hazelnuts-spreads
0000101209159	spreads
0000101209159	sweet-spreads
0000101209159	breakfasts
0000101209159	chocolate-spreads
0000101209159	hazelnut-spreads
00001373	fresh-vegetables
00001373	plant-based-foods-and-beverages
00001373	fresh-foods
00001373	plant-based-foods
00001373	fruits-and-vegetables-based-foods
00001373	vegetables-based-foods
00001373	fresh-plant-based-foods
0000204286484	bodybuilding-supplements
0000204286484	protein-powders
0000204286484	dietary-supplements
0000204286644	bodybuilding-supplements
0000204286644	protein-shakes
0000204286644	dietary-supplements
0000209024937	cakes
0000209024937	doughnuts
0000209024937	biscuits-and-cakes
0000209024937	sugary-snacks
0000250632969	bodybuilding-supplements
0000250632969	protein-powders
0000250632969	dietary-supplements
00002929	groceries
00002929	parsley
00002929	plant-based-foods-and-beverages
00002929	aromatic-herbs
00002929	culinary-plants
00002929	aromatic-plants
00002929	condiments
00002929	plant-based-foods
000030	cakes
000030	biscuits-and-cakes
000030	sugary-snacks
000031	sugary-snacks
000031	cakes
000031	pastries
000031	fruit-cakes
000031	desserts
000031	biscuits-and-cakes
00003100	pork
00003100	meats
000039365	bodybuilding-supplements
000039365	protein-powders
000039365	dietary-supplements
000039681	bodybuilding-supplements
000039681	protein-powders
000039681	dietary-supplements
0000460938714	bodybuilding-supplements
0000460938714	protein-powders
0000460938714	dietary-supplements
0000470322800	bodybuilding-supplements
0000470322800	protein-powders
0000470322800	dietary-supplements
000050	sugary-snacks
000050	cakes
000050	pastries
000050	desserts
000050	biscuits-and-cakes
0000501050603	bodybuilding-supplements
0000501050603	protein-powders
0000501050603	dietary-supplements
000051	sugary-snacks
000051	cakes
000051	pastries
000051	desserts
000051	biscuits-and-cakes
0000526938306	bodybuilding-supplements
0000526938306	protein-powders
0000526938306	dietary-supplements
00005487	appetizers
00005487	salty-snacks
00005487	chips-and-fries
00005487	crisps
0000601015748	cakes
0000601015748	doughnuts
0000601015748	biscuits-and-cakes
0000601015748	sugary-snacks
0000628006569	plant-based-foods-and-beverages
0000628006569	cereals-and-potatoes
0000628006569	baguettes
0000628006569	breads
0000628006569	plant-based-foods
0000790310013	candies
0000790310013	confectioneries
0000790310013	sugary-snacks
0000790310020	candies
0000790310020	confectioneries
