code	country
0011110816337	united-states
0011110816405	united-states
0011110820747	united-states
0011110821140	united-states
0011110821614	united-states
0011110825995	united-states
0011110827586	united-states
0011110831095	united-states
0011110834805	united-states
0011110842534	united-states
0011110844675	united-states
0011110844965	united-states
0011110845696	united-states
0011110846563	united-states
0011110847690	united-states
0011110858535	united-states
0011110859310	united-states
0011110865823	united-states
0011110870056	united-states
0011110873675	united-states
0011110879653	united-states
0011110879684	united-states
0011110879714	united-states
0011110879721	united-states
0011110881595	united-states
0011110892324	united-states
0011110894953	united-states
0011110897329	united-states
0011110897336	united-states
0011110908575	france
0011110914934	united-states
0011150017091	united-states
0011150017114	united-states
0011150017145	united-states
0011150017220	united-states
0011150030946	united-states
0011150039765	united-states
0011150040761	united-states
0011150040785	united-states
0011150088510	united-states
0011150088527	united-states
0011150088541	united-states
0011150088701	united-states
0011150088725	united-states
0011150088749	united-states
0011150088756	united-states
0011150088763	united-states
0011150159579	france
0011150159579	united-states
0011150500524	united-states
0011150589031	united-states
0011150589345	united-states
0011150940290	united-states
0011150981248	united-states
0011150981262	united-states
0011150981286	united-states
0011150981514	united-states
0011150981538	united-states
0011150981545	united-states
0011150981552	united-states
0011150981569	united-states
0011150981972	united-states
0011150992121	united-states
0011150992619	united-states
0011150992626	united-states
0011150992640	united-states
0011152031880	mexico
0011152225616	france
0011152276410	france
0011152276410	united-states
0011152296081	united-states
0011152296098	united-states
0011152431680	france
0011152431680	united-states
0011152431697	france
0011152697291	france
0011156054502	united-states
0011161032977	united-states
0011161036401	united-states
0011161036418	united-states
0011161159070	united-states
00111652	united-kingdom
0011182003987	mexico
0011182408553	united-states
0011194156770	mexico
0011194156770	united-states
0011200001407	france
0011200009717	france
0011210000018	france
0011210000018	united-states
0011210000834	mexico
0011210006508	belgium
0011210006508	switzerland
0011210006508	france
0011210006508	australia
0011210009493	germany
0011210009493	france
0011210021501	france
0011210021501	united-states
0011210115262	germany
0011210115262	france
0011210115644	france
0011210115644	spain
0011210601369	belgium
0011210601369	france
0011210607040	france
0011213019703	united-states
0011213020495	united-states
0011213020501	united-states
0011213024943	united-states
0011213024950	united-states
0011213025735	united-states
0011213031651	united-states
0011213031675	united-states
0011213031682	united-states
0011213036397	united-states
0011213037622	united-states
0011213037769	united-states
0011213037776	united-states
0011213037783	united-states
0011213044750	united-states
0011213044774	united-states
0011213053325	united-states
0011213147468	united-states
0011213185392	united-states
0011213251981	united-states
0011213252131	united-states
0011213252148	united-states
0011213252209	united-states
0011213252223	united-states
0011225028830	united-states
0011225033674	united-states
0011225107184	united-states
0011225121241	united-states
0011225125706	united-states
0011225125713	united-states
0011225416330	united-states
0011225416347	united-states
0011225617249	united-states
00113380	belgium
00113380	france
00113380	united-kingdom
00113380	netherlands
00113670	france
00113991	united-kingdom
00114356	united-kingdom
001151	france
0011535501047	united-states
0011535504734	united-states
00115537	france
0011594022026	united-states
0011594202107	united-states
00116343	united-kingdom
00116350	united-kingdom
00116367	united-kingdom
0011645004315	united-states
00116954	united-kingdom
00117418	france
0011747615105	france
0011747615358	france
0011747615358	new-zealand
0011747615358	australia
